#Organism Name	Organism Groups	Strain	BioSample	BioProject	Assembly	Level	Size(Mb)	GC%	Replicons	WGS	Scaffolds	CDS	Release Date	GenBank FTP	RefSeq FTP
Acyrthosiphon pisum	Eukaryota;Animals;Insects	LSR1	SAMN00000061	PRJNA13657	GCA_000142985.2	Scaffold	541.692	31.1995	mitochondrion MT:NC_011594.1/FJ411411.1	ABLF02	23925	27999	2008-04-01T00:00:00Z	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/142/985/GCA_000142985.2_Acyr_2.0	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/142/985/GCF_000142985.2_Acyr_2.0
Aedes aegypti	Eukaryota;Animals;Insects	LVP_AGWG	SAMN07177802	PRJNA392114	GCA_002204515.1	 Chromosome	1278.73	38.1667	chromosome 1:NC_035107.1/CM008043.1; chromosome 2:NC_035108.1/CM008044.1; chromosome 3:NC_035109.1/CM008045.1; mitochondrion MT:NC_035159.1/MF194022.1	NIGP01	2310	28317	2017-06-15T00:00:00Z	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/204/515/GCA_002204515.1_AaegL5.0	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/204/515/GCF_002204515.2_AaegL5.0
Alligator mississippiensis	Eukaryota;Animals;Reptiles	KSC_2009_1	SAMN02981418	PRJNA221578	GCA_000281125.4	Scaffold	2161.73	44.4	mitochondrion MT:NC_001922.1/Y13113.1	AKHW03	7094	42388	2012-07-24T00:00:00Z	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/281/125/GCA_000281125.4_ASM28112v4	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/281/125/GCF_000281125.3_ASM28112v4
Anolis carolinensis	Eukaryota;Animals;Reptiles		SAMN02981230	PRJNA18787	GCA_000090745.2	 Chromosome	1799.14	40.8238	chromosome 1:NC_014776.1/CM000937.1; chromosome 2:NC_014777.1/CM000938.1; chromosome 3:NC_014778.1/CM000939.1; chromosome 4:NC_014779.1/CM000940.1; chromosome 5:NC_014780.1/CM000941.1; chromosome 6:NC_014781.1/CM000942.1; linkage group a:NC_014782.1/CM000943.1; linkage group b:NC_014783.1/CM000944.1; linkage group c:NC_014784.1/CM000945.1; linkage group d:NC_014785.1/CM000946.1; linkage group f:NC_014786.1/CM000947.1; linkage group g:NC_014787.1/CM000948.1; linkage group h:NC_014788.1/CM000949.1; mitochondrion MT:NC_010972.2/EU747728.2	AAWZ02	6646	34827	2007-02-15T00:00:00Z	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/090/745/GCA_000090745.2_AnoCar2.0	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/090/745/GCF_000090745.1_AnoCar2.0
Anopheles gambiae	Eukaryota;Animals;Insects	PEST	SAMN02952903	PRJNA1438	GCA_000005575.1	 Chromosome	265.027	44.5151	chromosome X:NC_004818.2/CM000360.1; chromosome 2R:NT_078266.2/CM000357.1; chromosome 3R:NT_078268.4/CM000359.1; chromosome 2L:NT_078265.2/CM000356.1; chromosome 3L:NT_078267.5/CM000358.1; mitochondrion MT:NC_002084.1/L20934.1	AAAB01	8145	14102	2002-03-22T00:00:00Z	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/005/575/GCA_000005575.1_AgamP3	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/005/575/GCF_000005575.2_AgamP3
Apis mellifera	Eukaryota;Animals;Insects	DH4	SAMN09259743	PRJNA477511	GCA_003254395.2	 Chromosome	225.251	32.6339	linkage group LG1:NC_037638.1/CM009931.2; linkage group LG2:NC_037639.1/CM009932.2; linkage group LG3:NC_037640.1/CM009933.2; linkage group LG4:NC_037641.1/CM009934.2; linkage group LG5:NC_037642.1/CM009935.2; linkage group LG6:NC_037643.1/CM009936.2; linkage group LG7:NC_037644.1/CM009937.2; linkage group LG8:NC_037645.1/CM009938.2; linkage group LG9:NC_037646.1/CM009939.2; linkage group LG10:NC_037647.1/CM009940.2; linkage group LG11:NC_037648.1/CM009941.2; linkage group LG12:NC_037649.1/CM009942.2; linkage group LG13:NC_037650.1/CM009943.2; linkage group LG14:NC_037651.1/CM009944.2; linkage group LG15:NC_037652.1/CM009945.2; linkage group LG16:NC_037653.1/CM009946.2; mitochondrion MT:NC_001566.1/L06178.1; mitochondrion MT:CM009947.2	QIUM02	177	23471	2018-06-19T00:00:00Z	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/254/395/GCA_003254395.2_Amel_HAv3.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/254/395/GCF_003254395.2_Amel_HAv3.1
Bactrocera dorsalis	Eukaryota;Animals;Insects	Punador	SAMN02203716	PRJNA273958	GCA_000789215.2	Scaffold	414.985	39.8995	mitochondrion MT:NC_008748.1/DQ845759.1	JFBF01	7166	19034	2014-12-03T00:00:00Z	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/789/215/GCA_000789215.2_ASM78921v2	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/789/215/GCF_000789215.1_ASM78921v2
Bombus terrestris	Eukaryota;Animals;Insects		SAMN00009041	PRJNA45869	GCA_000214255.1	 Chromosome	248.654	38.0986	linkage group LG B01:NC_015762.1/CM001169.1; linkage group LG B02:NC_015763.1/CM001170.1; linkage group LG B03:NC_015764.1/CM001171.1; linkage group LG B04:NC_015765.1/CM001172.1; linkage group LG B05:NC_015766.1/CM001173.1; linkage group LG B06:NC_015767.1/CM001174.1; linkage group LG B07:NC_015768.1/CM001175.1; linkage group LG B08:NC_015769.1/CM001176.1; linkage group LG B09:NC_015770.1/CM001177.1; linkage group LG B10:NC_015771.1/CM001178.1; linkage group LG B11:NC_015772.1/CM001179.1; linkage group LG B12:NC_015773.1/CM001180.1; linkage group LG B13:NC_015774.1/CM001181.1; linkage group LG B14:NC_015775.1/CM001182.1; linkage group LG B15:NC_015776.1/CM001183.1; linkage group LG B16:NC_015777.1/CM001184.1; linkage group LG B17:NC_015778.1/CM001185.1; linkage group LG B18:NC_015779.1/CM001186.1	AELG01	5678	22091	2010-12-10T00:00:00Z	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/214/255/GCA_000214255.1_Bter_1.0	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/214/255/GCF_000214255.1_Bter_1.0
Bos taurus	Eukaryota;Animals;Mammals	L1 Dominette 01449 registration number 42190680	SAMN03145444	PRJNA450837	GCA_002263795.2	 Chromosome	2715.85	41.9362	chromosome 1:NC_037328.1/CM008168.2; chromosome 2:NC_037329.1/CM008169.2; chromosome 3:NC_037330.1/CM008170.2; chromosome 4:NC_037331.1/CM008171.2; chromosome 5:NC_037332.1/CM008172.2; chromosome 6:NC_037333.1/CM008173.2; chromosome 7:NC_037334.1/CM008174.2; chromosome 8:NC_037335.1/CM008175.2; chromosome 9:NC_037336.1/CM008176.2; chromosome 10:NC_037337.1/CM008177.2; chromosome 11:NC_037338.1/CM008178.2; chromosome 12:NC_037339.1/CM008179.2; chromosome 13:NC_037340.1/CM008180.2; chromosome 14:NC_037341.1/CM008181.2; chromosome 15:NC_037342.1/CM008182.2; chromosome 16:NC_037343.1/CM008183.2; chromosome 17:NC_037344.1/CM008184.2; chromosome 18:NC_037345.1/CM008185.2; chromosome 19:NC_037346.1/CM008186.2; chromosome 20:NC_037347.1/CM008187.2; chromosome 21:NC_037348.1/CM008188.2; chromosome 22:NC_037349.1/CM008189.2; chromosome 23:NC_037350.1/CM008190.2; chromosome 24:NC_037351.1/CM008191.2; chromosome 25:NC_037352.1/CM008192.2; chromosome 26:NC_037353.1/CM008193.2; chromosome 27:NC_037354.1/CM008194.2; chromosome 28:NC_037355.1/CM008195.2; chromosome 29:NC_037356.1/CM008196.2; chromosome X:NC_037357.1/CM008197.2; mitochondrion MT:CM008198.1; mitochondrion MT:NC_006853.1/AY526085.1	NKLS02	2211	63696	2017-08-21T00:00:00Z	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/263/795/GCA_002263795.2_ARS-UCD1.2	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/263/795/GCF_002263795.1_ARS-UCD1.2
Callithrix jacchus	Eukaryota;Animals;Mammals		SAMN02981242	PRJNA20401	GCA_000004665.1	 Chromosome	2914.96	41.3414	chromosome 1:NC_013896.1/CM000856.1; chromosome 2:NC_013897.1/CM000857.1; chromosome 3:NC_013898.1/CM000858.1; chromosome 4:NC_013899.1/CM000859.1; chromosome 5:NC_013900.1/CM000860.1; chromosome 6:NC_013901.1/CM000861.1; chromosome 7:NC_013902.1/CM000862.1; chromosome 8:NC_013903.1/CM000863.1; chromosome 9:NC_013904.1/CM000864.1; chromosome 10:NC_013905.1/CM000865.1; chromosome 11:NC_013906.1/CM000866.1; chromosome 12:NC_013907.1/CM000867.1; chromosome 13:NC_013908.1/CM000868.1; chromosome 14:NC_013909.1/CM000869.1; chromosome 15:NC_013910.1/CM000870.1; chromosome 16:NC_013911.1/CM000871.1; chromosome 17:NC_013912.1/CM000872.1; chromosome 18:NC_013913.1/CM000873.1; chromosome 19:NC_013914.1/CM000874.1; chromosome 20:NC_013915.1/CM000875.1; chromosome 21:NC_013916.1/CM000876.1; chromosome 22:NC_013917.1/CM000877.1; chromosome X:NC_013918.1/CM000878.1; chromosome Y:NC_013919.1/CM000879.1	ACFV01	16399	45251	2010-01-21T00:00:00Z	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/004/665/GCA_000004665.1_Callithrix_jacchus-3.2	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/004/665/GCF_000004665.1_Callithrix_jacchus-3.2
